	path4	path6	collector	len4	len6
553	[553, 680, 20965, 11537, 10886, 27]	[553, 6939, 10886, 27]	Frankfurt, Germany	6.0	4.0
1280	[1280, 7922, 33657, 27]	[1280, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
2497	[2497, 6939, 22925, 27]	[2497, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
2914	[2914, 3549, 6939, 22925, 27]	[2914, 10886, 27]	Palo Alto, USA	5.0	3.0
3257	[3257, 7922, 33657, 27]	[3257, 10886, 27]	Frankfurt, Germany	4.0	3.0
4589	[4589, 6939, 22925, 27]	[4589, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
5396	[5396, 6939, 22925, 27]	[5396, 6939, 10886, 27]	Milan, Italy	4.0	4.0
6667	[6667, 6939, 22925, 27]	[6667, 6939, 10886, 27]	Stockholm, Sweden	4.0	4.0
6762	[6762, 7922, 33657, 27]	[6762, 6939, 10886, 27]	Palo Alto, USA	4.0	4.0
6939	[6939, 22925, 27]	[6939, 10886, 27]	Palo Alto, USA	3.0	3.0
8447	[8447, 6939, 22925, 27]	[8447, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8596	[8596, 6939, 22925, 27]	[8596, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
9002	[9002, 6939, 22925, 27]	[9002, 10886, 27]	Moscow, Russia	4.0	3.0
9189	[9189, 6939, 22925, 27]	[9189, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
12637	[12637, 6939, 22925, 27]	[12637, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12779	[12779, 6939, 22925, 27]	[12779, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12859	[12859, 6939, 22925, 27]	[12859, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12989	[12989, 6939, 22925, 27]	[12989, 11164, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13237	[13237, 6939, 22925, 27]	[13237, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
14840	[14840, 18881, 12956, 7922, 33657, 27]	[14840, 18881, 3549, 11537, 10886, 27]	Sao Paulo, Brazil	6.0	6.0
15435	[15435, 6939, 22925, 27]	[15435, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15605	[15605, 6939, 22925, 27]	[15605, 6939, 10886, 27]	Milan, Italy	4.0	4.0
16735	[16735, 6939, 22925, 27]	[16735, 6939, 10886, 27]	Sao Paulo, Brazil	4.0	4.0
19151	[19151, 6939, 22925, 27]	[19151, 10886, 27]	Palo Alto, USA	4.0	3.0
20640	[20640, 6939, 22925, 27]	[20640, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
25091	[25091, 6939, 22925, 27]	[25091, 6939, 10886, 27]	CIXP, Geneva	4.0	4.0
25152	[25152, 6939, 22925, 27]	[25152, 6939, 10886, 27]	Otemachi, Japan	4.0	4.0
25220	[25220, 6939, 22925, 27]	[25220, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
28289	[28289, 53131, 16735, 6939, 22925, 27]	[28289, 53131, 16735, 6939, 10886, 27]	Sao Paulo, Brazil	6.0	6.0
28917	[28917, 6939, 22925, 27]	[28917, 6939, 10886, 27]	Moscow, Russia	4.0	4.0
29140	[29140, 6939, 22925, 27]	[29140, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
29686	[29686, 6939, 22925, 27]	[29686, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
31019	[31019, 6939, 22925, 27]	[31019, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
34288	[34288, 6939, 22925, 27]	[34288, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
35369	[35369, 6939, 22925, 27]	[35369, 8218, 6939, 10886, 27]	VIX, Vienna	4.0	5.0
39912	[39912, 6939, 22925, 27]	[39912, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
48166	[48166, 6939, 22925, 27]	[48166, 9002, 10886, 27]	Frankfurt, Germany	4.0	4.0
50763	[50763, 6939, 22925, 27]	[50763, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
51185	[51185, 6939, 22925, 27]	[51185, 6939, 10886, 27]	Milan, Italy	4.0	4.0
