	path4	collector	path6	len4	len6
1916	[1916, 6939, 1280, 3557]	Sao Paulo, Brazil	[1916, 22548, 30122, 3557]	4.0	4.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9189	[9189, 6939, 1280, 3557]	Frankfurt, Germany	[9189, 6695, 6939, 1280, 3557]	4.0	5.0
13030	[13030, 30132, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
14840	[14840, 26615, 22548, 30122, 3557]	Sao Paulo, Brazil	[14840, 18881, 16735, 22548, 30122, 3557]	5.0	6.0
15469	[15469, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[15469, 13030, 30126, 3557]	4.0	4.0
25152	[25152, 4713, 24047, 3557]	Otemachi, Japan	[25152, 2497, 1280, 3557]	4.0	4.0
28289	[28289, 16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[28289, 53131, 16735, 22548, 30122, 3557]	5.0	6.0
28917	[28917, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	3.0	3.0
29049	[29049, 6939, 1280, 3557]	RIPE NCC, Amsterdam	[29049, 12389, 30124, 3557]	4.0	4.0
29636	[29636, 39326, 33073, 3557]	LINX, London	[29636, 6939, 1280, 3557]	4.0	4.0
35369	[35369, 6939, 1280, 3557]	VIX, Vienna	[35369, 13030, 30132, 3557]	4.0	4.0
37989	[37989, 4844, 23711, 3557]	RIPE NCC, Amsterdam	[37989, 4844, 6939, 1280, 3557]	4.0	5.0
50300	[50300, 30132, 3557]	RIPE NCC, Amsterdam	[50300, 5580, 30132, 3557]	3.0	4.0
57381	[57381, 42708, 33082, 3557]	RIPE NCC, Amsterdam	[57381, 42708, 30132, 3557]	4.0	4.0
