	path4	path6	collector	len4	len6
286	[286, 174, 22925, 27]	[286, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
1280	[1280, 7922, 33657, 27]	[1280, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
1299	[1299, 6939, 22925, 27]	[1299, 6939, 10886, 27]	LINX, London	4.0	4.0
1836	[1836, 6939, 22925, 27]	[1836, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
1930	[1930, 174, 22925, 27]	[1930, 20965, 11537, 10886, 27]	RIPE NCC, Amsterdam	4.0	5.0
2497	[2497, 209, 10886, 27]	[2497, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
3257	[3257, 174, 22925, 27]	[3257, 10886, 27]	Frankfurt, Germany	4.0	3.0
4589	[4589, 7922, 33657, 27]	[4589, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
6667	[6667, 6939, 22925, 27]	[6667, 6939, 10886, 27]	Stockholm, Sweden	4.0	4.0
6762	[6762, 7922, 33657, 27]	[6762, 6939, 10886, 27]	Palo Alto, USA	4.0	4.0
6881	[6881, 25512, 174, 22925, 27]	[6881, 15685, 29208, 6939, 10886, 27]	RIPE NCC, Amsterdam	5.0	6.0
6939	[6939, 22925, 27]	[6939, 10886, 27]	Palo Alto, USA	3.0	3.0
8426	[8426, 3549, 6939, 22925, 27]	[8426, 6939, 10886, 27]	New York (NY), USA	5.0	4.0
8447	[8447, 6939, 22925, 27]	[8447, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8607	[8607, 6939, 22925, 27]	[8607, 6939, 10886, 27]	LINX, London	4.0	4.0
8758	[8758, 6939, 22925, 27]	[8758, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
9002	[9002, 6939, 22925, 27]	[9002, 10886, 27]	Moscow, Russia	4.0	3.0
9189	[9189, 6939, 22925, 27]	[9189, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
12859	[12859, 6939, 22925, 27]	[12859, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12989	[12989, 6939, 22925, 27]	[12989, 11164, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13030	[13030, 6939, 22925, 27]	[13030, 6939, 10886, 27]	New York (NY), USA	4.0	4.0
13237	[13237, 6939, 22925, 27]	[13237, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
15469	[15469, 6939, 22925, 27]	[15469, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
16735	[16735, 6939, 22925, 27]	[16735, 6939, 10886, 27]	Sao Paulo, Brazil	4.0	4.0
19151	[19151, 6939, 22925, 27]	[19151, 10886, 27]	Palo Alto, USA	4.0	3.0
28138	[28138, 16735, 6939, 22925, 27]	[28138, 16735, 6939, 10886, 27]	Sao Paulo, Brazil	5.0	5.0
28917	[28917, 6939, 22925, 27]	[28917, 3356, 6939, 10886, 27]	Moscow, Russia	4.0	5.0
29140	[29140, 3257, 174, 22925, 27]	[29140, 6939, 10886, 27]	Frankfurt, Germany	5.0	4.0
29636	[29636, 6939, 22925, 27]	[29636, 6939, 10886, 27]	LINX, London	4.0	4.0
29686	[29686, 6939, 22925, 27]	[29686, 3257, 10886, 27]	Frankfurt, Germany	4.0	4.0
34288	[34288, 174, 22925, 27]	[34288, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
34695	[34695, 6939, 22925, 27]	[34695, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
35369	[35369, 174, 22925, 27]	[35369, 13030, 6939, 10886, 27]	VIX, Vienna	4.0	5.0
39912	[39912, 6939, 22925, 27]	[39912, 3257, 10886, 27]	VIX, Vienna	4.0	4.0
42708	[42708, 6939, 22925, 27]	[42708, 6939, 10886, 27]	LINX, London	4.0	4.0
