	path4	path6	collector	len4	len6
286	[286, 6939, 22925, 27]	[286, 6939, 10886, 27]	LINX, London	4.0	4.0
553	[553, 680, 20965, 11537, 10886, 27]	[553, 6939, 10886, 27]	Frankfurt, Germany	6.0	4.0
1280	[1280, 7922, 33657, 27]	[1280, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
1299	[1299, 6939, 22925, 27]	[1299, 6939, 10886, 27]	LINX, London	4.0	4.0
1916	[1916, 6939, 22925, 27]	[1916, 6939, 10886, 27]	Sao Paulo, Brazil	4.0	4.0
2497	[2497, 6939, 22925, 27]	[2497, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
2914	[2914, 1299, 6939, 22925, 27]	[2914, 10886, 27]	Palo Alto, USA	5.0	3.0
3257	[3257, 7922, 33657, 27]	[3257, 10886, 27]	Frankfurt, Germany	4.0	3.0
4589	[4589, 6939, 22925, 27]	[4589, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
5396	[5396, 6939, 22925, 27]	[5396, 6939, 10886, 27]	Milan, Italy	4.0	4.0
6667	[6667, 6939, 22925, 27]	[6667, 6939, 10886, 27]	Stockholm, Sweden	4.0	4.0
6679	[6679, 9002, 6939, 22925, 27]	[6679, 6939, 10886, 27]	Moscow, Russia	5.0	4.0
6720	[6720, 6939, 22925, 27]	[6720, 1853, 20965, 11537, 10886, 27]	VIX, Vienna	4.0	6.0
6762	[6762, 6939, 22925, 27]	[6762, 6939, 10886, 27]	Palo Alto, USA	4.0	4.0
6881	[6881, 6939, 22925, 27]	[6881, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
6939	[6939, 22925, 27]	[6939, 10886, 27]	Palo Alto, USA	3.0	3.0
8447	[8447, 6939, 22925, 27]	[8447, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8596	[8596, 6939, 22925, 27]	[8596, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8758	[8758, 6939, 22925, 27]	[8758, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
9002	[9002, 6939, 22925, 27]	[9002, 10886, 27]	Moscow, Russia	4.0	3.0
9189	[9189, 6939, 22925, 27]	[9189, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
12637	[12637, 6939, 22925, 27]	[12637, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12779	[12779, 6939, 22925, 27]	[12779, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12859	[12859, 6939, 22925, 27]	[12859, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12989	[12989, 6939, 22925, 27]	[12989, 11164, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13030	[13030, 6939, 22925, 27]	[13030, 6939, 10886, 27]	New York (NY), USA	4.0	4.0
13237	[13237, 6939, 22925, 27]	[13237, 6939, 10886, 27]	Frankfurt, Germany	4.0	4.0
14840	[14840, 18881, 12956, 7922, 33657, 27]	[14840, 18881, 3549, 11537, 10886, 27]	Sao Paulo, Brazil	6.0	6.0
15435	[15435, 6939, 22925, 27]	[15435, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15469	[15469, 6939, 22925, 27]	[15469, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
