	path4	collector	path6	len4	len6
251	[251, 30122, 3557]	Sao Paulo, Brazil	[251, 6939, 1280, 3557]	3.0	4.0
286	[286, 6939, 1280, 3557]	LINX, London	[286, 30132, 3557]	4.0	3.0
1916	[1916, 30122, 3557]	Sao Paulo, Brazil	[1916, 6939, 1280, 3557]	3.0	4.0
6720	[6720, 8447, 3257, 30132, 3557]	VIX, Vienna	[6720, 1853, 2852, 6939, 1280, 3557]	5.0	6.0
8447	[8447, 3257, 30132, 3557]	VIX, Vienna	[8447, 6939, 1280, 3557]	4.0	4.0
8607	[8607, 3257, 30132, 3557]	LINX, London	[8607, 6939, 1280, 3557]	4.0	4.0
8758	[8758, 15576, 3257, 30132, 3557]	RIPE NCC, Amsterdam	[8758, 6939, 1280, 3557]	5.0	4.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
13030	[13030, 1280, 3557]	New York (NY), USA	[13030, 33082, 3557]	3.0	3.0
14840	[14840, 16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[14840, 6939, 1280, 3557]	5.0	4.0
15605	[15605, 27320, 3557]	Milan, Italy	[15605, 6939, 1280, 3557]	3.0	4.0
16735	[16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[16735, 6939, 1280, 3557]	4.0	4.0
22548	[22548, 30122, 3557]	Sao Paulo, Brazil	[22548, 16735, 6939, 1280, 3557]	3.0	5.0
25152	[25152, 4713, 24047, 3557]	Otemachi, Japan	[25152, 2497, 1280, 3557]	4.0	4.0
25160	[25160, 30132, 3557]	LINX, London	[25160, 6939, 1280, 3557]	3.0	4.0
28917	[28917, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	3.0	3.0
29636	[29636, 39326, 33073, 3557]	LINX, London	[29636, 6939, 1280, 3557]	4.0	4.0
29686	[29686, 3257, 30132, 3557]	Frankfurt, Germany	[29686, 6939, 1280, 3557]	4.0	4.0
41497	[41497, 3257, 30132, 3557]	Milan, Italy	[41497, 6939, 1280, 3557]	4.0	4.0
52720	[52720, 30122, 3557]	Sao Paulo, Brazil	[52720, 28329, 6939, 1280, 3557]	3.0	5.0
52888	[52888, 30122, 3557]	Sao Paulo, Brazil	[52888, 1916, 6939, 1280, 3557]	3.0	5.0
53070	[53070, 30122, 3557]	Sao Paulo, Brazil	[53070, 10429, 12956, 6939, 1280, 3557]	3.0	6.0
56730	[56730, 51945, 39326, 33073, 3557]	LINX, London	[56730, 6939, 1280, 3557]	5.0	4.0
57821	[57821, 48039, 3257, 30132, 3557]	RIPE NCC, Amsterdam	[57821, 6939, 1280, 3557]	5.0	4.0
